symbol,qty,side,market_value,avg_entry_price,unrealized_pl
AIV,-5202.0,short,-41225.85,7.87,-286.11
ARKG,413.0,long,11817.995,27.103123,624.405
CSX,4.0,long,139.18,34.7875,0.03
EXPD,1.0,long,122.11,121.86,0.25
GWW,43.0,long,41018.13,965.544419,-500.28
IBM,37.0,long,10442.695,281.5,27.195
IPGP,522.0,long,41491.17,79.11,195.75
KLAC,38.0,long,41157.61,1064.835789,693.85
LUMN,1.0,long,6.01,5.88,0.13
LUV,1.0,long,32.06,32.21,-0.15
MEC,-1.0,short,-13.64,13.51,-0.13
PTON,2.0,long,16.97,8.81,-0.65
RJF,233.0,long,39135.845,174.65,-1557.605
RSG,3.0,long,681.09,231.39,-13.08
URI,10.0,long,9653.25,947.02,183.05
WM,-187.0,short,-40922.145,218.6,-43.945
