symbol,qty,side,market_value,avg_entry_price,unrealized_pl
CBRE,65.0,long,10681.45,165.991538,-108.0
ED,-416.0,short,-40010.88,96.38,83.2
HIG,305.0,long,39848.25,130.36,88.45
HOG,1.0,long,30.15,30.31,-0.16
KLAC,40.0,long,41455.6,998.31,1523.2
MAS,546.0,long,39830.7,73.38,-234.78
PTON,1.0,long,8.2499,8.07,0.1799
RMD,96.0,long,26084.16,271.13,55.68
RSG,175.0,long,39597.25,227.01,-129.5
SPXU,-27.0,short,-378.8073,14.11,2.1627
ULTA,19.0,long,10117.5,513.58,359.48
UPRO,1.0,long,109.19,109.1,0.09
VUG,84.0,long,40068.0,476.05,79.8
VZ,-917.0,short,-40329.66,43.931418,-44.55
WELL,62.0,long,10292.62,169.86,-238.7
ZM,1.0,long,86.69,85.82,0.87
