ticker,event_time,signal,confidence
A,2025-09-17,buy,0.39160001277923584
AAPL,2025-09-17,buy,0.66079181432724
ABT,2025-09-17,sell,0.4640412926673889
ACN,2025-09-17,buy,0.32801100611686707
ADBE,2025-09-17,sell,0.3186613917350769
ADM,2025-09-17,buy,0.40655481815338135
ADSK,2025-09-17,buy,0.3190843164920807
AEP,2025-09-17,sell,0.3007798492908478
AFL,2025-09-17,sell,0.5144935846328735
AIV,2025-09-17,sell,0.5771963596343994
ALGN,2025-09-17,buy,0.44421032071113586
ALK,2025-09-17,buy,0.46201395988464355
ALLE,2025-09-17,buy,0.595457136631012
AMAT,2025-09-17,buy,0.33825206756591797
AMD,2025-09-17,buy,0.3576674461364746
AME,2025-09-17,buy,0.3605416417121887
AMG,2025-09-17,buy,0.320054292678833
AMGN,2025-09-17,sell,0.31289729475975037
AMP,2025-09-17,buy,0.5041192173957825
AMT,2025-09-17,sell,0.320554256439209
AMZN,2025-09-17,buy,0.5625384449958801
ANET,2025-09-17,buy,0.3637784421443939
AOS,2025-09-17,buy,0.39961740374565125
APA,2025-09-17,buy,0.40258657932281494
APD,2025-09-17,buy,0.3277280330657959
APTV,2025-09-17,buy,0.4692207872867584
ARKF,2025-09-17,buy,0.41076433658599854
ARKG,2025-09-17,buy,0.3876020610332489
ARKK,2025-09-17,buy,0.3792654275894165
ARKQ,2025-09-17,buy,0.3814317286014557
ARKW,2025-09-17,buy,0.616492748260498
ATR,2025-09-17,buy,0.4216068983078003
AVY,2025-09-17,sell,0.4635889232158661
AWK,2025-09-17,buy,0.3968712091445923
AXP,2025-09-17,buy,0.35247716307640076
BA,2025-09-17,buy,0.46157050132751465
BABA,2025-09-17,buy,0.3619225025177002
BAC,2025-09-17,buy,0.36752647161483765
BAX,2025-09-17,sell,0.5353091955184937
BBBY,2025-09-17,buy,0.50376957654953
BEN,2025-09-17,buy,0.4013051986694336
BIDU,2025-09-17,buy,0.3100453019142151
BIIB,2025-09-17,buy,0.6561136245727539
BILI,2025-09-17,buy,0.5719489455223083
BKR,2025-09-17,sell,0.5669383406639099
BLK,2025-09-17,buy,0.38031473755836487
BMY,2025-09-17,sell,0.30478671193122864
BR,2025-09-17,sell,0.5089513659477234
BSX,2025-09-17,sell,0.42420315742492676
BWA,2025-09-17,buy,0.37791141867637634
C,2025-09-17,buy,0.6685696840286255
CAH,2025-09-17,buy,0.46141937375068665
CB,2025-09-17,buy,0.3450760245323181
CBOE,2025-09-17,buy,0.30155643820762634
CBRE,2025-09-17,buy,0.6945744156837463
CCL,2025-09-17,buy,0.34831181168556213
CDNS,2025-09-17,buy,0.3644183278083801
CDW,2025-09-17,sell,0.3811476230621338
CE,2025-09-17,sell,0.31157493591308594
CHD,2025-09-17,buy,0.3509473204612732
CHRW,2025-09-17,buy,0.5171210765838623
CHTR,2025-09-17,buy,0.4369121789932251
CI,2025-09-17,sell,0.6556525826454163
CINF,2025-09-17,buy,0.33027660846710205
CL,2025-09-17,sell,0.337026447057724
CLX,2025-09-17,sell,0.30111315846443176
CME,2025-09-17,sell,0.44357049465179443
CMG,2025-09-17,buy,0.47043442726135254
CMS,2025-09-17,buy,0.3025358319282532
CNX,2025-09-17,sell,0.37975215911865234
COF,2025-09-17,buy,0.38778233528137207
COIN,2025-09-17,buy,0.31266099214553833
COO,2025-09-17,buy,0.5544124841690063
COST,2025-09-17,buy,0.3966916501522064
CPB,2025-09-17,sell,0.48446816205978394
CPRI,2025-09-17,buy,0.3364661931991577
CRL,2025-09-17,buy,0.7245748043060303
CRM,2025-09-17,buy,0.4467523396015167
CSGP,2025-09-17,buy,0.4352988600730896
CSX,2025-09-17,sell,0.5109632611274719
CTVA,2025-09-17,buy,0.3025418817996979
CVS,2025-09-17,sell,0.5356040000915527
CVX,2025-09-17,buy,0.3495318591594696
D,2025-09-17,buy,0.45615360140800476
DD,2025-09-17,buy,0.6102768182754517
DE,2025-09-17,buy,0.3195733428001404
DG,2025-09-17,buy,0.6666812896728516
DHI,2025-09-17,buy,0.5919222831726074
DHR,2025-09-17,buy,0.3900326192378998
DIS,2025-09-17,buy,0.3657681941986084
DLR,2025-09-17,sell,0.31178295612335205
DLTR,2025-09-17,buy,0.4076835811138153
DOV,2025-09-17,buy,0.34838905930519104
DPZ,2025-09-17,buy,0.32527485489845276
DRI,2025-09-17,buy,0.431015282869339
DTE,2025-09-17,buy,0.3053509593009949
DVA,2025-09-17,buy,0.3251992464065552
DXC,2025-09-17,buy,0.3012949228286743
EA,2025-09-17,buy,0.4544375538825989
EBAY,2025-09-17,sell,0.462873637676239
ECL,2025-09-17,buy,0.3819425702095032
EDU,2025-09-17,buy,0.3172354996204376
EIX,2025-09-17,buy,0.41084355115890503
EL,2025-09-17,buy,0.47438398003578186
ENPH,2025-09-17,buy,0.3251163065433502
EQIX,2025-09-17,sell,0.3142004907131195
EQR,2025-09-17,buy,0.3806703984737396
ES,2025-09-17,sell,0.3528163433074951
ETN,2025-09-17,buy,0.5756762623786926
ETR,2025-09-17,sell,0.39784228801727295
ETSY,2025-09-17,buy,0.48168036341667175
EXPD,2025-09-17,buy,0.6972087621688843
EXPE,2025-09-17,buy,0.5692495107650757
EXR,2025-09-17,sell,0.3815450966358185
F,2025-09-17,sell,0.45888662338256836
FAST,2025-09-17,buy,0.49792712926864624
FCX,2025-09-17,buy,0.470859557390213
FDX,2025-09-17,sell,0.3950009346008301
FE,2025-09-17,sell,0.3882897198200226
FFIV,2025-09-17,buy,0.5411137342453003
FMC,2025-09-17,buy,0.6120581030845642
FOX,2025-09-17,buy,0.3707968294620514
FOXA,2025-09-17,sell,0.3944800794124603
FRT,2025-09-17,sell,0.31823641061782837
FTI,2025-09-17,buy,0.3947136700153351
FTV,2025-09-17,buy,0.32452014088630676
GD,2025-09-17,buy,0.39961397647857666
GE,2025-09-17,buy,0.3275533616542816
GIS,2025-09-17,sell,0.34313511848449707
