symbol,qty,side,market_value,avg_entry_price,unrealized_pl
AIV,-5231.0,short,-40487.94,7.767773,145.279998
BBBY,1.0,long,8.9279,9.63,-0.7021
CRL,68.0,long,10120.44,150.59,-119.68
CSX,1.0,long,34.05,34.05,0.0
FDX,-44.0,short,-10222.08,230.0,-102.08
HBI,4.0,long,25.8,6.49,-0.16
IR,128.0,long,10356.48,81.94,-131.84
KMI,-2.0,short,-55.16,27.44,-0.28
MGM,1.0,long,34.2,34.75,-0.55
NIO,5890.0,long,41465.6,6.888,895.279994
SHW,117.0,long,40126.32,346.61,-427.05
TSN,-2.0,short,-109.32,53.61,-2.1
UDR,-1091.0,short,-40454.28,37.39,338.21
