symbol,qty,side,market_value,avg_entry_price,unrealized_pl
CBRE,65.0,long,10772.45,165.991538,-17.0
ED,-416.0,short,-40144.0,96.38,-49.92
HIG,305.0,long,40080.05,130.36,320.25
HOG,1.0,long,29.75,30.31,-0.56
KLAC,40.0,long,42000.0,998.31,2067.6
MAS,546.0,long,39852.54,73.38,-212.94
PTON,1.0,long,7.94,8.07,-0.13
RMD,96.0,long,26235.84,271.13,207.36
RSG,175.0,long,39674.25,227.01,-52.5
SPXU,-27.0,short,-375.03,14.11,5.94
ULTA,19.0,long,10161.39,513.58,403.37
UPRO,1.0,long,110.34,109.1,1.24
VUG,84.0,long,40094.04,476.05,105.84
VZ,-917.0,short,-40100.41,43.931418,184.7
WELL,62.0,long,10380.66,169.86,-150.66
ZM,1.0,long,87.0,85.82,1.18
