symbol,qty,side,market_value,avg_entry_price,unrealized_pl
AFL,-3.0,short,-328.44,109.63,0.45
AIV,-5231.0,short,-40174.08,7.767773,459.139998
BBBY,1.0,long,9.1,9.63,-0.53
CRL,68.0,long,9898.76,150.59,-341.36
CSX,1.0,long,33.66,34.05,-0.39
FDX,-44.0,short,-10402.48,230.0,-282.48
HBI,4.0,long,25.84,6.49,-0.12
HCSG,1.0,long,16.36,16.58,-0.22
HOG,1.0,long,28.11,28.17,-0.06
IR,128.0,long,10304.0,81.94,-184.32
KMI,-2.0,short,-55.86,27.44,-0.98
MGM,1.0,long,34.48,34.75,-0.27
MOS,1.0,long,34.79,36.33,-1.54
NIO,5890.0,long,43468.2,6.888,2897.879994
PZZA,1.0,long,46.75,46.05,0.7
SHW,117.0,long,39791.7,346.61,-761.67
TSLA,13.0,long,5573.1,431.641538,-38.24
TSN,-2.0,short,-108.02,53.61,-0.8
UDR,-1091.0,short,-40050.61,37.39,741.88
