symbol,qty,side,market_value,avg_entry_price,unrealized_pl
AIV,-5202.0,short,-41355.9,7.87,-416.16
ARKG,413.0,long,12034.82,27.103123,841.23
CSX,4.0,long,139.6,34.7875,0.45
EXPD,1.0,long,121.53,121.86,-0.33
GWW,43.0,long,40592.0,965.544419,-926.41
IBM,37.0,long,10565.831,281.5,150.331
IPGP,522.0,long,41509.44,79.11,214.02
KLAC,38.0,long,43586.0,1064.835789,3122.24
LUMN,1.0,long,6.111,5.88,0.231
LUV,1.0,long,32.33,32.21,0.12
MEC,-1.0,short,-13.64,13.51,-0.13
MGM,2.0,long,69.677,34.45,0.777
PTON,2.0,long,17.42,8.81,-0.2
RJF,233.0,long,38654.7,174.65,-2038.75
RSG,3.0,long,679.995,231.39,-14.175
SHW,97.0,long,33098.34,341.14,7.76
URI,10.0,long,9629.2,947.02,159.0
WM,-187.0,short,-41197.97,218.6,-319.77
