symbol,qty,side,market_value,avg_entry_price,unrealized_pl
AIV,-5202.0,short,-40731.66,7.87,208.08
ARKG,413.0,long,12390.0,27.103123,1196.41
CSX,4.0,long,142.24,34.7875,3.09
EXPD,1.0,long,123.06,121.86,1.2
GWW,43.0,long,41011.25,965.544419,-507.16
IBM,37.0,long,10636.0533,281.5,220.5533
IPGP,522.0,long,42412.5,79.11,1117.08
KLAC,38.0,long,42940.0,1064.835789,2476.24
LUMN,1.0,long,6.41,5.88,0.53
LUV,1.0,long,32.47,32.21,0.26
MEC,-1.0,short,-13.59,13.51,-0.08
MGM,2.0,long,69.7514,34.45,0.8514
PTON,2.0,long,17.44,8.81,-0.18
RJF,233.0,long,39080.5075,174.65,-1612.9425
RSG,3.0,long,667.71,231.39,-26.46
SHW,97.0,long,33358.3,341.14,267.72
URI,10.0,long,9782.2,947.02,312.0
WM,-187.0,short,-40653.8,218.6,224.4
