symbol,qty,side,market_value,avg_entry_price,unrealized_pl
CBRE,65.0,long,10681.125,165.991538,-108.325
ED,-416.0,short,-40160.64,96.38,-66.56
HIG,305.0,long,39864.2625,130.36,104.4625
HOG,1.0,long,30.32,30.31,0.01
KLAC,40.0,long,39858.4,998.31,-74.0
MAS,546.0,long,40565.07,73.38,499.59
RSG,175.0,long,39679.5,227.01,-47.25
SPXU,-27.0,short,-382.725,14.11,-1.755
ULTA,19.0,long,9993.0519,513.58,235.0319
UPRO,1.0,long,107.97,109.1,-1.13
VUG,84.0,long,39751.32,476.05,-236.88
VZ,-917.0,short,-40513.06,43.931418,-227.95
WELL,62.0,long,10239.92,169.86,-291.4
