symbol,qty,side,market_value,avg_entry_price,unrealized_pl
AIV,-5231.0,short,-40461.785,7.767773,171.434998
BBBY,1.0,long,9.19,9.63,-0.44
CRL,68.0,long,10183.0,150.59,-57.12
CSX,1.0,long,33.645,34.05,-0.405
FDX,-44.0,short,-10343.08,230.0,-223.08
HBI,4.0,long,26.12,6.49,0.16
IR,128.0,long,10468.48,81.94,-19.84
KMI,-2.0,short,-55.36,27.44,-0.48
MGM,1.0,long,34.535,34.75,-0.215
NIO,5890.0,long,41495.05,6.888,924.729994
SHW,117.0,long,40448.07,346.61,-105.3
TSN,-2.0,short,-108.58,53.61,-1.36
UDR,-1091.0,short,-40514.285,37.39,278.205
