symbol,qty,side,market_value,avg_entry_price,unrealized_pl
AFL,-3.0,short,-334.08,109.63,-5.19
AIV,-5231.0,short,-41481.3069,7.767773,-848.086902
BBBY,1.0,long,9.45,9.63,-0.18
CRL,68.0,long,10102.08,150.59,-138.04
CSX,1.0,long,34.97,34.05,0.92
FDX,-44.0,short,-10535.36,230.0,-415.36
HBI,4.0,long,26.48,6.49,0.52
HCSG,1.0,long,16.36,16.58,-0.22
HOG,1.0,long,29.22,28.17,1.05
IR,128.0,long,10534.4,81.94,46.08
KMI,-2.0,short,-56.48,27.44,-1.6
MGM,1.0,long,36.01,34.75,1.26
MOS,1.0,long,35.5195,36.33,-0.8105
NIO,5890.0,long,42054.6,6.888,1484.279994
PZZA,1.0,long,47.19,46.05,1.14
SHW,117.0,long,40003.47,346.61,-549.9
TSLA,13.0,long,5804.5,431.641538,193.16
TSN,-2.0,short,-107.4,53.61,-0.18
UDR,-1091.0,short,-40072.43,37.39,720.06
