symbol,side,qty,estimated_price,confidence,event_time,order_id
RJF,buy,233,176.61000061035156,0.7363989949226379,2025-09-30 00:00:00,39657e01-fdd6-4b25-baaa-74f365867ab7
IPGP,buy,522,78.72000122070312,0.7190542817115784,2025-09-30 00:00:00,f10a4185-3877-43b8-a765-09cd0e580e65
URI,buy,10,952.0,0.7114589810371399,2025-09-30 00:00:00,faeae0e5-6d8d-43a0-b843-76fea9dbde31
RSG,buy,3,230.28750610351562,0.6954126358032227,2025-09-30 00:00:00,fc931102-7c82-4205-8476-8fe9d861062c
EXPD,buy,1,121.9800033569336,0.6861461997032166,2025-09-30 00:00:00,ea0667b0-ed50-4745-9017-47eace75e7bf
LUV,buy,1,32.459999084472656,0.6748612523078918,2025-09-30 00:00:00,99063e22-32ed-438f-a34b-0053c4ed3750
PTON,buy,2,9.024999618530273,0.6516245603561401,2025-09-30 00:00:00,2d6dc996-9740-40f0-beb4-65181c51a5ba
